codigo_ine,municipio,provincia,lat,lon
46184,Ontinyent,Valencia,38.8208523,-0.6099929
46185,Otos,Valencia,38.8537863,-0.444257
46186,Paiporta,Valencia,39.4279722,-0.4184254
46187,Palma de Gandía,Valencia,38.9249523,-0.2210245
46188,Palmera,Valencia,38.9417448,-0.1537426
46189,"Palomar, el",Valencia,38.0880466,-0.6532852
46190,Paterna,Valencia,39.5039227,-0.4421014
46191,Pedralba,Valencia,39.6053522,-0.7260062
46192,Petrés,Valencia,39.6839991,-0.3102425
46193,Picanya,Valencia,39.4353965,-0.4358777
46194,Picassent,Valencia,39.363519,-0.4611789
46195,Piles,Valencia,38.9407693,-0.1325845
46196,Pinet,Valencia,38.9827649,-0.3383891
46199,"Pobla de Farnals, la",Valencia,39.5788818,-0.3296332
46202,"Pobla de Vallbona, la",Valencia,39.585611,-0.551639
46200,"Pobla del Duc, la",Valencia,38.9010354,-0.3907092
46203,"Pobla Llarga, la",Valencia,39.08528,-0.4765326
46197,Polinyà de Xúquer,Valencia,39.1957935,-0.3698201
46198,Potries,Valencia,38.915234,-0.1949104
46205,Puçol,Valencia,39.6172229,-0.3028272
46201,Puebla de San Miguel,Valencia,40.044968,-1.1443952
46204,"Puig de Santa Maria, el",Valencia,39.5885981,-0.3033266
46101,Quart de les Valls,Valencia,39.7398739,-0.2727995
46102,Quart de Poblet,Valencia,39.4827253,-0.4438854
46103,Quartell,Valencia,39.7373882,-0.2640069
46104,Quatretonda,Valencia,38.9456993,-0.4016262
46206,Quesa,Valencia,39.1196086,-0.7402726
46207,Rafelbunyol,Valencia,39.5884632,-0.3325421
46208,Rafelcofer,Valencia,38.9327181,-0.1664006
46209,Rafelguaraf,Valencia,39.0516722,-0.4550355
46210,Ráfol de Salem,Valencia,38.8659425,-0.3972952
46212,Real,Valencia,39.3342846,-0.608392
46211,"Real de Gandia, el",Valencia,38.862806,0.0044484
46213,Requena,Valencia,39.4880777,-1.1001643
46214,Riba-roja de Túria,Valencia,39.5463524,-0.5699662
46215,Riola,Valencia,39.1974256,-0.334858
46216,Rocafort,Valencia,39.5300573,-0.4109383
46217,Rotglà i Corberà,Valencia,39.0039511,-0.5647874
46218,Ròtova,Valencia,38.9325529,-0.2580968
46219,Rugat,Valencia,38.8792847,-0.36232
46220,Sagunto/Sagunt,Valencia,39.6792916,-0.2786451
46221,Salem,Valencia,38.8543784,-0.3814159
46903,San Antonio de Benagéber,Valencia,39.5619478,-0.5001275
46222,Sant Joanet,Valencia,39.071992,-0.4869889
46223,Sedaví,Valencia,39.4247119,-0.3834581
46224,Segart,Valencia,39.6833431,-0.3744773
46225,Sellent,Valencia,39.0317983,-0.5874749
46226,Sempere,Valencia,38.9198161,-0.4800619
46227,Senyera,Valencia,39.0635511,-0.5099664
46228,Serra,Valencia,39.6851966,-0.4281287
46229,Siete Aguas,Valencia,39.4715188,-0.9156646
46230,Silla,Valencia,39.3632045,-0.4112618
46231,Simat de la Valldigna,Valencia,39.0435012,-0.3114531
46232,Sinarcas,Valencia,39.7325775,-1.2300935
46233,Sollana,Valencia,39.2784514,-0.3818215
46234,Sot de Chera,Valencia,39.6212861,-0.9102321
46235,Sueca,Valencia,39.2025604,-0.3111645
46236,Sumacàrcer,Valencia,39.0962162,-0.6296261
46237,Tavernes Blanques,Valencia,39.5064294,-0.3625992
46238,Tavernes de la Valldigna,Valencia,39.0715565,-0.2678045
46239,Teresa de Cofrentes,Valencia,39.1064363,-1.0510067
46240,Terrateig,Valencia,38.8948459,-0.3200938
46241,Titaguas,Valencia,39.8655907,-1.0821531
46242,Torrebaja,Valencia,40.0960725,-1.2567771
46243,Torrella,Valencia,38.9886227,-0.5714242
46244,Torrent,Valencia,39.436668,-0.4656213
46245,Torres Torres,Valencia,39.7434288,-0.357507
46246,Tous,Valencia,39.1397505,-0.5881834
46247,Tuéjar,Valencia,39.7653342,-1.0406176
