nombre_centro;municipio;lat;lon
CENTRO SAN VIATOR;La Baluga;NA;NA
TURTZIOZKO ESKOLA;La Iglesia;43.2678853;-3.2564194
LAMIAKO;Lamiako;43.3207979;-2.9977763
MADRE DEL DIVINO PASTOR;Las Arenas-Areeta;43.3254732;-3.0126846
IBAIONDO;Las Arenas-Areeta;NA;NA
ROMO;Las Arenas-Areeta;43.3277519;-3.0061085
MAESTRO ASKARTZA ISUSI;Las Carreras;NA;NA
AYALDE;Lauroeta;NA;NA
LAURO IKASTOLA;Lauroeta;NA;NA
NUESTRA SEÑORA DE LA MERCED;Lauroeta;NA;NA
PADRE ANDRES DE URDANETA;Lauroeta;NA;NA
RESURRECCION MARIA DE AZKUE IKASTOLA;Lekeitio;43.3609519;-2.5055559
LEKEITIO;Lekeitio;43.3613219;-2.5079649
LEARRETA-MARKINA;Mallabia;NA;NA
BERA KRUZ IKASTOLA;Markina-Xemein;43.2653959;-2.4965376
LEA-ARTIBAI BATXILERGOA;Markina-Xemein;43.2671658;-2.4938148
BEKOBENTA;Markina-Xemein;43.2717667;-2.4962268
MARKINA ETXEBARRI;Markina-Xemein;NA;NA
MARKINA;Markina-Xemein;43.2717667;-2.4962268
MARISTAK ZALLA;Mimetiz;43.2124703;-3.1377863
MIMETIZ;Mimetiz;43.2155083;-3.1337479
ZALLA;Mimetiz;43.2155083;-3.1337479
ZIPIRIÑE;Moreaga;NA;NA
MUNDAKA;Mundaka;43.4074478;-2.6980598
FUNDACION ESCUELAS VENTADES;Mungia;43.3548088;-2.8461445
LARRAMENDI IKASTOLA;Mungia;NA;NA
LEGARDA;Mungia;NA;NA
MUNGIA;Mungia;43.3533439;-2.8447832
MUNITIBAR;Munitibar;43.2651474;-2.5929116
HAIZEDER;Natxitua;43.3809936;-2.6132611
IGNACIO ZUBIZARRETA;Olabarri;43.1600728;-2.7780729
ARRATIA;Olabarri;43.1602778;-2.7793222
ZUBI ZAHAR IKASTOLA;Ondarroa;43.3194743;-2.4335757
NUESTRA SEÑORA DE LA ANTIGUA;Ondarroa;43.3206577;-2.4346336
ZALDUPE;Ondarroa;NA;NA
ONDARROA;Ondarroa;43.319294;-2.4259613
NUESTRA SEÑORA DE LA ANTIGUA;Orduña;42.9946663;-3.0096417
BAGABILTZA;Orduña;42.9951089;-3.0132322
URDUÑA;Orduña;42.9907322;-3.0097068
SAN FELIX IKASTOLA;Ortuella;43.3121562;-3.0589228
OTXARTAGA;Ortuella;NA;NA
ORTUELLA;Ortuella;43.3091062;-3.0528891
OTXANDIO;Otxandio;43.0424105;-2.6507586
ARRATIAKO ZULAIBAR LANBIDE IKASTEGIA-2;Plaza;43.1096992;-2.7570673
ZEANURI;Plaza;43.1006216;-2.7481214
ASTI-LEKU IKASTOLA;Portugalete;NA;NA
KARMENGO AMA;Portugalete;43.3197946;-3.0175454
SANTA MARIA;Portugalete;43.3230369;-3.0223649
SAN ROQUE S.L;Portugalete;43.3198144;-3.0196191
XABIER;Portugalete;43.3194828;-3.0182779
GABRIEL CELAYA;Portugalete;NA;NA
KANPAZAR;Portugalete;43.3183955;-3.0274984
MAESTRO ZUBELDIA;Portugalete;43.3174264;-3.0202636
RUPERTO MEDINA;Portugalete;NA;NA
VIRGEN DE LA GUIA;Portugalete;43.3179386;-3.018313
