"cod_municipio","nombre_municipio","nombre_municipio_norm","pob_total","pob_extranjera","pob_menor_16","pob_mayor_65","pct_extranjeros","indice_envejecimiento","pct_estudios_sup","num_colegios","ratio_colegios","distancia_centro_educativo","num_centros_salud","ratio_centros_salud","consultorio_local","num_hospitales","ratio_hospital","distancia_hospital","precio_m2_alquiler","renta_media_hogar","esfuerzo_alquiler","pct_hogares_100mbps","internet_100mbps_mayor90","contratos_total","pct_contratos_agricultura","pct_contratos_industria","pct_contratos_construccion","pct_contratos_servicios","estudios_faltaban"
"48902","Erandio","erandio",24446,1865,3408,5516,7.62905996891107,161.854460093897,17.8029413146643,0,0,0,1,0.0409064877689602,1,1,0.0409064877689602,0,9.9,34959,27.1861323264395,98.4032938341032,1,14422,0.208015531826376,11.7944806545555,5.96311191235612,82.034391901262,FALSE
"48034","Ermua","ermua",15589,1173,2020,4050,7.52453653217012,200.49504950495,16.7153284671533,6,0.384886779139137,0,1,0.0641477965231894,0,0,0,4.32,7.9,37600,20.1702127659574,96.8089887640449,1,1636,0.611246943765281,12.8973105134474,7.51833740831296,78.9731051344743,FALSE
"48029","Etxebarri","etxebarri",11780,347,2340,1771,2.94567062818336,75.6837606837607,23.9465999165624,0,0,0.74,1,0.0848896434634975,0,0,0,2.2,9.6,42401,21.7353364307446,97.2683566433566,1,2325,0.21505376344086,16.6021505376344,12.3010752688172,70.8817204301075,FALSE
"48036","Galdakao","galdakao",29285,1267,3810,6890,4.32644698651187,180.839895013123,28.0728964715006,0,0,0,1,0.0341471743213249,1,1,0.0341471743213249,0,8.8,41951,20.1377797907082,98.4057263705873,1,7767,0.862623921720098,11.0724861593923,6.66924166344792,81.3956482554397,FALSE
"48046","Gernika-Lumo","gernika-lumo",16855,1854,2597,4022,10.999703352121,154.871005005776,30.3038693154288,6,0.355977454761198,0,0,0,0,0,0,12.56,7,40556,16.5696814281487,97.1863336204421,1,3118,4.0410519563823,10.5837075048108,4.20141116100064,81.1738293778063,FALSE
"48044","Getxo","getxo",76365,4967,9910,20568,6.5042886138938,207.547931382442,41.7129262490087,0,0,0.17,0,0,0,0,0,3.29,11.6,56823,19.5976981151998,98.360924977007,1,17021,0.552258974208331,8.38963633159039,2.16791022854121,88.8901944656601,FALSE
"48043","Gorliz","gorliz",6031,291,906,1202,4.82507046924225,132.671081677704,41.6923076923077,0,0,0.59,1,0.165809981760902,0,1,0.165809981760902,0,8.9,45557,18.754527295476,99.68,1,929,1.07642626480086,11.194833153929,3.22927879440258,84.4994617868676,FALSE
"48045","Güeñes","guenes",6737,460,1006,1360,6.82796496957102,135.188866799205,20.552677029361,1,0.148434021077631,0,0,0,1,0,0,12.17,7.5,36142,19.921421061369,96.0979070592409,1,1486,2.96096904441454,8.61372812920592,3.83580080753701,84.5895020188425,FALSE
"48048","Ibarrangelu","ibarrangelu",680,24,69,161,3.52941176470588,233.333333333333,46.839546191248,0,0,1.9,0,0,1,0,0,8.11,7.9,42569,17.8157814371961,90.6158357771261,1,263,1.90114068441065,21.6730038022814,1.90114068441065,74.5247148288973,FALSE
"48910","Iurreta","iurreta",3695,400,526,889,10.8254397834912,169.011406844106,17.0053141606752,1,0.27063599458728,0.42,0,0,1,0,0,6.89,7.4,39158,18.1418867153583,98.1233243967828,1,1261,3.80650277557494,16.4155432196669,6.89928628072958,72.8786677240285,FALSE
"48050","Izurtza","izurtza",210,7,29,51,3.33333333333333,175.862068965517,41.5,0,0,1.34,0,0,1,0,0,7.46,8.7,49882,16.7435146946794,90.4761904761905,1,144,10.4166666666667,27.7777777777778,3.47222222222222,58.3333333333333,TRUE
"48054","Leioa","leioa",32172,1883,4920,6646,5.85291557876414,135.081300813008,33.8437477267768,0,0,0.16,1,0.031082929255253,0,0,0,2.56,10.7,44422,23.1236774571158,98.3765729377039,1,14147,0.0706863646002686,8.34805965929172,3.46363186541316,88.1176221106949,FALSE
"48057","Lekeitio","lekeitio",7178,460,921,1879,6.4084703259961,204.017372421281,29.1772151898734,2,0.278629144608526,0,1,0.139314572304263,0,0,0,18.74,7.2,37812,18.2799111393209,98.0099502487562,1,1328,4.44277108433735,8.65963855421687,4.21686746987952,82.6807228915663,FALSE
"48083","Ortuella","ortuella",8466,402,1107,1949,4.74840538625089,176.061427280939,18.2319571383549,3,0.354358610914245,0,1,0.118119536971415,0,0,0,2.85,8.8,34059,24.8040165594997,95.0374272248406,1,1763,0,20.3062960862167,13.2161089052751,66.4775950085082,FALSE
"48077","Plentzia","plentzia",4376,282,597,858,6.44424131627057,143.718592964824,43.7418343349882,0,0,1.6,0,0,1,0,0,1.45,9.6,45540,20.2371541501976,96.7723669309173,1,778,0,15.2956298200514,5.1413881748072,79.5629820051414,FALSE
"48078","Portugalete","portugalete",44800,2840,5085,12655,6.33928571428571,248.869223205506,22.0842373008154,12,0.267857142857143,0,3,0.0669642857142857,0,0,0,0.81,9.7,35806,26.0068145003631,96.571574121243,1,7247,0.13798813302056,7.18918173037119,2.80115910031737,89.8716710362909,FALSE
"48082","Santurtzi","santurtzi",45749,2702,5885,11156,5.90614002491858,189.566694987256,12.8267774248717,13,0.284159216594898,0,2,0.0437168025530613,0,2,0.0437168025530613,0,10,35069,27.3746043514215,98.2774161241863,1,15254,0.498229972466238,6.58188016258031,4.20873213583322,88.7111577291202,FALSE
"48904","Sondika","sondika",4521,222,638,984,4.91041804910418,154.23197492163,28.7382584412287,0,0,1.11,0,0,1,0,0,3.92,9.4,47871,18.8506611518456,96.4052287581699,1,2032,0.246062992125984,12.8937007874016,13.2874015748032,73.5728346456693,FALSE
"48085","Sopela","sopela",14635,628,2587,2377,4.29108302015716,91.8824893699266,46.5047052045324,0,0,0.72,0,0,0,0,0,2.53,10.4,48192,20.7171314741036,94.6206896551724,1,2153,0.2322340919647,14.2127264282397,12.1690664189503,73.3859730608453,FALSE
"48076","Sukarrieta","sukarrieta",361,14,26,121,3.8781163434903,465.384615384615,41.7,0,0,1.47,0,0,1,0,0,3.79,9.2,44780,19.7230906654757,92.2651933701657,1,139,0,7.19424460431655,3.59712230215827,89.2086330935252,TRUE
"48065","Ugao-Miraballes","ugao-miraballes",4128,304,592,914,7.36434108527132,154.391891891892,19.1704035874439,0,0,3.41,0,0,1,0,0,8.33,7.6,37187,19.6197595934063,92.9784824462061,1,505,0.99009900990099,14.6534653465347,17.6237623762376,66.7326732673267,FALSE
"48089","Urduliz","urduliz",5247,219,875,855,4.17381360777587,97.7142857142857,37.7379873073436,0,0,0.13,0,0,1,1,0.190585096245474,0,9.6,45142,20.4155775109654,94.1445562671546,1,1655,1.81268882175227,9.60725075528701,6.46525679758308,82.1148036253776,FALSE
"48080","Valle de Trápaga-Trapagaran","valle de trapaga-trapagaran",11918,468,1440,2913,3.92683336130223,202.291666666667,21.9430485762144,0,0,0,0,0,0,0,0,2.62,9.1,35914,24.3247758534276,97.6424361493124,1,6168,0.405317769130999,9.98702983138781,8.91699092088197,80.6906614785992,FALSE
"48097","Zaratamo","zaratamo",1628,58,221,329,3.56265356265356,148.868778280543,20.6047819971871,1,0.614250614250614,1.61,0,0,1,0,0,4.69,7.7,38244,19.328522121117,92.3312883435583,1,1262,1.58478605388273,11.2519809825674,5.07131537242472,82.0919175911252,FALSE
"48025","Zeberio","zeberio",1084,31,162,242,2.85977859778598,149.382716049383,29.6455424274973,0,0,6.16,0,0,1,0,0,8.7,8,44929,17.0936366266776,91.6666666666667,1,263,1.90114068441065,13.3079847908745,13.3079847908745,71.4828897338403,FALSE
