parque;lat;lon;area_m2
parque_70;43,31136040;-3,07247530690433;12639,30086825381
parque_60;43,33043720;-3,03784790419016;12566,18334305799
parque_151;43,26691690;-2,93797613497238;12549,75083949394
parque_199;43,34311285;-3,08719337776274;12452,90055114965
parque_184;43,20896225;-2,88841305046835;12449,87931887986
parque_334;43,24388495;-2,89447268274008;12313,10393337347
parque_427;43,21808770;-2,81629102223521;12246,46964353323
parque_119;43,30972885;-3,01723460693373;12226,27233541352
parque_25;43,33460555;-3,00719849801136;12203,98875132576
parque_109;43,30127140;-3,03179585022906;12096,80904531758
parque_388;43,29221500;-2,98749264336866;12091,26829341857
parque_92;43,30672940;-2,97117598170359;12078,65039276332
parque_172;43,22962515;-2,83604556652996;12032,05512461485
parque_372;43,27005270;-2,90859878857745;12006,00112551544
parque_78;43,30832750;-3,03878756829916;11741,64149511233
parque_48;43,33163885;-3,00406737198951;11708,95773727912
parque_106;43,30240035;-3,03703906665123;11653,57488341094
parque_144;43,32659575;-3,01708573017506;11629,36508483440
parque_180;43,19578190;-3,04850436058628;11551,13679643592
parque_49;43,32976515;-3,00715440941684;11515,69068733929
parque_343;43,27332410;-2,92827417232144;11504,10852071340
parque_21;43,33920720;-3,01202264938028;11451,70914168935
parque_150;43,32896285;-3,03433373879734;11435,38749874244
parque_203;43,31202370;-3,05802060946492;11259,45760281105
parque_86;43,32289020;-3,04170850748181;11239,73592816945
parque_296;43,28665565;-2,99916915954421;11224,02907402720
parque_41;43,21920480;-2,91112703137810;11168,67026486248
parque_37;43,25191675;-2,93062737225610;10896,73320893035
parque_165;43,33841560;-3,00029126488924;10857,62465738878
parque_326;43,30198075;-2,89013739848403;10831,08338085003
parque_55;43,31655290;-3,01907746146496;10828,44923798786
parque_407;43,23349240;-2,84325292886894;10807,41079917084
parque_128;43,29509235;-2,88556171257704;10608,49562088493
parque_270;43,29622365;-2,92994426510903;10525,52306891768
parque_418;43,34304165;-3,00667166159175;10449,14433229202
parque_188;43,30806450;-3,08330782934520;10376,58033512905
parque_436;43,25725270;-2,91110889554988;10333,18298352882
parque_204;43,31255360;-3,05867640841682;10274,25583453197
parque_363;43,21665625;-2,90601688961940;10264,91710745145
parque_231;43,29686955;-2,87946352726920;10252,16058932454
parque_290;43,30738085;-3,04554417169915;10244,10419450351
parque_246;43,30717315;-2,98543863656173;10240,19299155846
parque_112;43,26301485;-2,93501420622319;10148,08473479177
parque_387;43,33456455;-2,98087716230698;10121,51784432819
parque_437;43,27601120;-2,84476017863089;10086,54777941480
parque_154;43,26900335;-2,93599291925179;10076,25366323011
parque_399;43,30783090;-2,95186113822280;10035,79482070170
parque_341;43,27316745;-2,94366123464031;10019,95741713792
parque_241;43,25212055;-2,92507481406368;9964,27123634890
parque_291;43,30720825;-3,04450361381935;9957,41290555522
parque_214;43,25336465;-2,93487248345154;9811,36615026882
parque_371;43,27051540;-2,93564258577964;9803,09380129725
parque_80;43,32128470;-3,07105049182584;9768,82211412466
parque_120;43,31660210;-3,01211816491347;9761,19886547094
parque_277;43,27267050;-2,97067042943798;9379,97289176797
parque_344;43,29678590;-2,97126503433005;9316,17242994718
parque_348;43,33774330;-2,99836340530778;9194,76344859973
parque_398;43,30881480;-2,95038210408824;9175,84000867605
parque_424;43,31392495;-2,98341976241639;9064,88749537896
parque_278;43,27543905;-2,97332857881184;9002,00416846108
parque_46;43,35575400;-3,00507558715121;8901,98283777107
parque_20;43,25192850;-2,91320102918197;8802,49472342758
parque_31;43,25081635;-2,91123036144538;8787,35189637932
parque_307;43,31247650;-3,00708724776511;8770,06045247801
parque_17;43,25733120;-2,94391969992697;8737,98245480540
parque_43;43,35556835;-3,01743164527534;8640,61702511739
parque_186;43,20471385;-2,88833733029694;8620,10831487551
parque_179;43,27217805;-2,94483937390494;8610,39880738175
parque_434;43,25819870;-2,91372984047685;8607,03461268696
parque_251;43,25633250;-2,95078261100052;8546,60236571217
parque_253;43,26379660;-2,91234998930678;8533,15185785736
parque_279;43,25862060;-2,91290678675251;8494,57903341367
parque_14;43,26294275;-2,92838395000000;8455,61208625324
parque_52;43,32343025;-3,01138965822429;8413,17279976374
parque_302;43,28495085;-2,99720743735871;8343,97978345479
parque_118;43,31058785;-3,01795306177348;8343,81954463571
parque_314;43,28099525;-2,85674863975087;8299,88054922782
