parque;lat;lon;area_m2
parque_494;39,43227020;-0,400688762775510;12534,35665783385
parque_520;39,45019675;-0,456925780418506;12258,03540759487
parque_510;39,43529260;-0,395700898938342;12248,51813435438
parque_513;39,47126425;-0,394002380730478;12229,03296779690
parque_208;39,40853380;-0,403899512829797;12212,85737789655
parque_144;39,47987935;-0,331978285699364;12069,54285797098
parque_508;39,47671545;-0,434601288715221;11960,71823167554
parque_270;39,51454655;-0,357395723957305;11942,60543314234
parque_196;39,50698105;-0,455634339725372;11935,37171523110
parque_386;39,42069870;-0,472011546071043;11642,02707534819
parque_360;39,41195270;-0,491244013431542;11617,16895905964
parque_518;39,47858590;-0,442390009697891;11557,97161843615
parque_1;39,48440775;-0,449902839664709;11475,12253483347
parque_332;39,47520015;-0,411960468967183;11424,61545538343
parque_28;39,46001585;-0,386221167670934;11376,44142929981
parque_464;39,47779480;-0,360828986791965;11272,31800327683
parque_117;39,48509190;-0,400822293443728;11261,22425840181
parque_473;39,43377870;-0,439839740265221;11258,69231519944
parque_431;39,44654595;-0,388228155055343;11227,41545539256
parque_498;39,40059540;-0,418981087284832;11172,63461599840
parque_299;39,50605320;-0,437251480241547;11049,81539777992
parque_54;39,47839170;-0,396933529893707;11034,68901927071
parque_357;39,41041705;-0,489039471239513;11002,03370621537
parque_77;39,47477990;-0,330908020252849;10966,64260735796
parque_186;39,48880330;-0,456322501881331;10896,36559373920
parque_404;39,42391730;-0,486872612590580;10849,12405929621
parque_259;39,41537525;-0,393605119542381;10760,54305107082
parque_399;39,42939395;-0,485973648963216;10710,73930484782
parque_505;39,49525385;-0,471791960714801;10667,33334982651
parque_202;39,54519725;-0,413262979153142;10660,52802186632
parque_160;39,51647625;-0,434541890975318;10615,61634366261
parque_411;39,43509530;-0,427851573025831;10575,09977859946
parque_398;39,43148055;-0,484128476874649;10574,58980795948
parque_83;39,46566045;-0,401685323039256;10451,10577148199
parque_267;39,40693450;-0,410203921465116;10346,71416483843
parque_201;39,54016270;-0,418367378834546;10343,66684813161
parque_287;39,49844470;-0,389208709106068;10318,11856465859
parque_288;39,49411865;-0,399411758318508;10311,48831231054
parque_169;39,48515180;-0,444739209642143;10270,94636706263
parque_189;39,45336760;-0,400866317925949;10265,40000130032
parque_217;39,50161405;-0,423683709226624;10263,99077270972
parque_290;39,51752290;-0,362132700042370;10254,23605683818
parque_443;39,46907210;-0,327554502159260;10244,20807569794
parque_401;39,42447025;-0,487432339101831;10174,07509220752
parque_230;39,42415125;-0,480684518565574;10128,11701049632
parque_156;39,43263700;-0,433292990243905;10027,88554050203
parque_413;39,45949640;-0,453449799711132;10001,63252987811
parque_78;39,47846355;-0,330735524902344;9957,35302077029
