"cod_municipio","nombre_municipio","nombre_municipio_norm","pob_total","pob_extranjera","pob_menor_16","pob_mayor_65","pct_extranjeros","indice_envejecimiento","pct_estudios_sup","num_colegios","ratio_colegios","distancia_centro_educativo","num_centros_salud","ratio_centros_salud","consultorio_local","num_hospitales","ratio_hospital","distancia_hospital","precio_m2_alquiler","renta_media_hogar","esfuerzo_alquiler","contratos_total","pct_contratos_agricultura","pct_contratos_industria","pct_contratos_construccion","pct_contratos_servicios","pct_hogares_100mbps","internet_100mbps_mayor90"
"46039","Anna","anna",2583,190,286,710,7.35578784359272,248.251748251748,16.3885323063757,1,0.387146728610143,0,0,0,1,0,0,11.87,2.50258558708036,30041,7.99734417495139,577,11.4427860696517,6.30182421227197,3.48258706467662,78.7728026533997,96.1885656970913,1
"46040","Antella","antella",1130,58,131,312,5.13274336283186,238.167938931298,15.2238805970149,1,0.884955752212389,0,0,0,1,0,0,10.76,2.26651763537009,28225,7.70897052242794,124,18.75,2.34375,0,78.90625,99.3762993762994,1
"46041","Aras de los Olmos","aras de los olmos",380,35,49,122,9.21052631578947,248.979591836735,21.3,1,2.63157894736842,19.92,0,0,1,0,0,48.88,3.3,26518,11.9466023078664,58,14.8148148148148,25.9259259259259,0,59.2592592592593,90.8045977011494,1
"46003","Atzeneta d'Albaida","atzeneta d'albaida",1146,55,144,255,4.79930191972077,177.083333333333,18.75,1,0.87260034904014,0,0,0,1,0,0,9.3,2.79396030957846,28930,9.27135118283901,651,0,53.7404580152672,4.88549618320611,41.3740458015267,96.137339055794,1
"46044","Ayora","ayora",5187,300,712,1233,5.78368999421631,173.174157303371,14.694236691597,2,0.385579332947754,9.03,1,0.192789666473877,0,0,0,47.33,2.75089318355514,28722,9.19454584016759,937,15.2127659574468,10.9574468085106,9.36170212765957,64.468085106383,92.2525107604017,1
"46045","Barxeta","barxeta",1576,138,215,370,8.75634517766497,172.093023255814,15.0943396226415,1,0.634517766497462,9.35,0,0,1,0,0,8.3,3.1,31610,9.4147421701993,335,38.328530259366,6.9164265129683,17.2910662824208,37.463976945245,94.0129449838188,1
"46047","Bèlgida","belgida",639,28,82,152,4.38184663536776,185.365853658537,13.0124777183601,1,1.56494522691706,5.04,0,0,1,0,0,11.97,3.2,27592,11.1336619309945,248,38.7218045112782,11.2781954887218,7.89473684210526,42.1052631578947,94.2307692307692,1
"46048","Bellreguard","bellreguard",4713,470,684,896,9.97241671971144,130.994152046784,20.3653418908911,2,0.424358158285593,1.53,1,0.212179079142797,1,0,0,3.18,3.49395827456811,30137,11.1298402083332,1035,2.74361400189215,1.98675496688742,7.09555345316935,88.1740775780511,99.4258872651357,1
"46049","Bellús","bellus",301,8,29,76,2.6578073089701,262.068965517241,15.4,0,0,5.5,0,0,1,0,0,7.14,3.7,25750,13.7941747572816,27,0,9.09090909090909,9.09090909090909,81.8181818181818,100,1
"46051","Benaguasil","benaguasil",11568,1125,1747,2137,9.72510373443983,122.323983972524,16.1724796461956,3,0.259336099585062,0,1,0.0864453665283541,0,0,0,5.88,3.99969163127057,29336,13.0887100014308,1770,6.43704121964991,9.93788819875776,10.2202145680407,73.4048560135517,96.4916151809356,1
"46052","Benavites","benavites",667,33,87,155,4.94752623688156,178.16091954023,16.7521367521367,0,0,0.51,0,0,1,0,0,16.06,3.9,29961,12.4962451186543,270,34.2857142857143,0,0,65.7142857142857,100,1
"46053","Beneixida","beneixida",652,32,82,125,4.9079754601227,152.439024390244,22.7272727272727,1,1.53374233128834,3.18,0,0,1,0,0,6.53,4.7,35172,12.8283862163084,693,4.09026798307475,10.296191819464,4.23131170662905,81.3822284908321,99.622641509434,1
"46054","Benetússer","benetusser",15493,1647,2277,3001,10.6306073710708,131.796223100571,17.487075747359,5,0.322726392564384,0.59,1,0.0645452785128768,0,0,0,2.96,5.0972181557869,30099,16.2574485184073,6762,81.4245603664844,0.620659080833456,3.17718338998079,14.7775971627013,100,1
"46055","Beniarjó","beniarjo",1791,157,278,288,8.76605248464545,103.597122302158,19.3962748876044,1,0.558347292015634,3.21,0,0,1,0,0,4.58,3.70299692147918,29723,11.9600210093867,941,34.6555323590814,2.19206680584551,2.81837160751566,60.3340292275574,95.8100558659218,1
"46904","Benicull de Xúquer","benicull de xuquer",1102,73,150,187,6.62431941923775,124.666666666667,16.7701863354037,1,0.907441016333938,4.21,0,0,1,0,0,4.72,4.73684210526316,29979,15.1685126957291,68,7.5,0,40,52.5,94.6666666666667,1
"46060","Benifaió","benifaio",11877,963,1693,2556,8.10810810810811,150.974601299468,17.5036425449247,4,0.336785383514355,0,1,0.0841963458785889,0,0,0,13.78,3.95160395160395,32735,11.5886353857944,2137,2.98786181139122,32.1195144724556,6.02240896358543,58.8702147525677,99.452861952862,1
"46059","Benifairó de la Valldigna","benifairo de la valldigna",1552,122,176,381,7.86082474226804,216.477272727273,21.5714285714286,1,0.644329896907217,1.19,0,0,1,0,0,5.97,2.30414746543779,33361,6.63044143407056,4506,53.1947822241875,0.508512049524652,0.397965951801901,45.898739774486,90.4684975767367,1
"46058","Benifairó de les Valls","benifairo de les valls",2314,160,402,475,6.91443388072602,118.159203980099,14.8340248962656,2,0.864304235090752,1.3,0,0,1,0,0,14.73,3.71926422619967,28428,12.5597778850137,348,23.3062330623306,2.4390243902439,10.2981029810298,63.9566395663957,100,1
"46061","Beniflá","benifla",475,28,80,50,5.89473684210526,62.5,20.6,0,0,3.67,0,0,0,0,0,5.07,4.18076787035286,30273,13.257811104082,413,4.20560747663551,19.392523364486,7.47663551401869,68.9252336448598,98.8505747126437,1
"46062","Benigànim","beniganim",5718,358,758,1150,6.26093039524309,151.715039577836,15.1408450704225,2,0.349772647778944,8.15,1,0.174886323889472,0,0,0,9.03,2.68166968152027,30314,8.49245528224405,970,15.9509202453988,14.2126789366053,4.39672801635992,65.439672801636,94.9504057709648,1
"46063","Benimodo","benimodo",2233,132,346,412,5.91133004926108,119.075144508671,15.0368033648791,1,0.447828034034931,1.58,0,0,1,0,0,10.38,3.32900943396226,31635,10.1022571727636,1268,10.7450980392157,75.843137254902,1.17647058823529,12.2352941176471,98.0526918671248,1
"46064","Benimuslem","benimuslem",662,32,95,124,4.83383685800604,130.526315789474,13.8353765323993,0,0,2.74,0,0,1,0,0,6.51,3.80952380952381,28763,12.7147476172265,84,34.5794392523364,11.214953271028,5.60747663551402,48.5981308411215,97.3684210526316,1
"46065","Beniparrell","beniparrell",2020,81,292,361,4.00990099009901,123.630136986301,18.4826012549914,1,0.495049504950495,1.21,0,0,1,0,0,7.52,4.76190476190476,35997,12.6994709876617,4916,0.528133252082064,38.3709120455007,3.39224050375787,57.7087141986594,99.8712998712999,1
"46066","Benirredrà","benirredra",1548,74,191,407,4.78036175710594,213.089005235602,23.1386861313869,1,0.645994832041344,0.29,0,0,1,0,0,1.92,4.75232964472918,44369,10.2824865535397,297,1.88087774294671,7.52351097178683,9.40438871473354,81.1912225705329,100,1
"46067","Benissanó","benissano",2345,173,344,444,7.3773987206823,129.06976744186,18.7839841819081,1,0.426439232409382,1.84,0,0,1,0,0,4.93,3.82748776365798,31883,11.5246001101266,459,6.43153526970954,16.804979253112,5.60165975103734,71.1618257261411,96.7926689576174,1
"46069","Benissuera","benissuera",188,20,20,60,10.6382978723404,300,15.7,0,0,9.04,0,0,1,0,0,10.82,3,26876,10.7158803393362,3,0,0,0,100,95.1807228915663,1
"46070","Bétera","betera",26289,3192,4707,3917,12.1419605158051,83.2164860845549,21.5251317918472,5,0.19019361710221,0,1,0.038038723420442,0,1,0.038038723420442,0,5.64409195304912,45253,11.9734123150447,4732,6.2552831783601,5.28317836010144,9.99577345731192,78.4657650042265,94.9342319817372,1
"46072","Bocairent","bocairent",4123,93,543,1028,2.25563909774436,189.318600368324,19.9341021416804,2,0.485083676934271,5.7,1,0.242541838467136,0,0,0,5.95,3.44247206127348,30919,10.688486622538,881,1.34983127109111,35.095613048369,8.43644544431946,55.1181102362205,96.2134251290878,1
"46073","Bolbaite","bolbaite",1338,107,163,351,7.99701046337818,215.337423312883,13.9593908629442,1,0.747384155455904,0,0,0,1,0,0,15.45,2.9,27884,9.98422034141443,112,14.2857142857143,25.1700680272109,10.2040816326531,50.3401360544218,94.5386064030132,1
"46074","Bonrepòs i Mirambell","bonrepos i mirambell",3831,256,739,554,6.68232837379274,74.9661705006766,21.29362792187,1,0.261028452101279,0.81,0,0,1,0,0,4.05,5.61797752808989,34554,15.6082028910294,505,7.93036750483559,20.3094777562863,7.15667311411992,64.6034816247582,99.7264021887825,1
"46077","Buñol","bunol",9503,732,1454,2210,7.70283068504683,151.994497936726,17.4813181428396,4,0.4209197095654,0,1,0.10522992739135,0,0,0,26.89,3.39790487034087,32310,10.0959104782644,4229,0.566304860783388,47.8999528079283,2.94950448324681,48.5842378480415,97.5808643653167,1
"46078","Burjassot","burjassot",38880,4483,5796,7170,11.5303497942387,123.706004140787,20.3090862357023,12,0.308641975308642,0,2,0.051440329218107,0,1,0.0257201646090535,0,5.31680634135868,30100,16.95725610533,8773,0.250655121339866,2.52933804261137,6.80186851999544,90.4181383160533,99.9933866807751,1
"46080","Camporrobles","camporrobles",1196,116,119,340,9.69899665551839,285.714285714286,16.9724770642202,1,0.836120401337793,7.56,0,0,1,0,0,32.1,2.52100840336134,23598,10.2558185745694,197,36.8181818181818,21.3636363636364,4.09090909090909,37.7272727272727,98.0108499095841,1
"46081","Canals","canals",13187,1396,1914,2658,10.5861833624024,138.871473354232,16.5692007797271,7,0.530825813300978,0,1,0.0758322590429969,1,0,0,8.02,3.17870658197053,29470,10.3547957878918,1988,10.1005025125628,7.58793969849246,6.88442211055276,75.4271356783919,97.3585649517051,1
"46082","Canet d'En Berenguer","canet d'en berenguer",6942,552,1211,1259,7.95159896283492,103.963666391412,34.4553771793544,4,0.576202823393835,0,0,0,1,0,0,16.98,6.77004863541412,36988,17.5712303720059,2520,0.951625693893735,11.4195083267248,5.6304520222046,81.9984139571768,100,1
"46083","Carcaixent","carcaixent",20498,2248,3096,3905,10.9669236023027,126.130490956072,17.3727365903656,7,0.341496731388428,3.39,1,0.048785247341204,0,1,0.048785247341204,0,3.66383203069887,30251,11.6269834037583,4302,9.88142292490119,9.02115787026273,6.69611718205069,74.4013020227854,97.6064809132196,1
"46084","Càrcer","carcer",1808,126,252,402,6.96902654867257,159.52380952381,15.1207115628971,2,1.10619469026549,2.36,1,0.553097345132743,0,0,0,8.61,2.97115975231171,30898,9.23138508065,1640,47.7341389728097,2.7190332326284,2.17522658610272,47.3716012084592,98.2905982905983,1
"46085","Carlet","carlet",15945,2426,2790,2997,15.2148008780182,107.41935483871,14.5883413461538,6,0.376293508936971,0,1,0.0627155848228285,0,0,0,10.72,3.4224374064548,29932,10.9766801757203,6469,13.6033390013913,36.3116401298501,4.25104343793477,45.8339774308239,98.4082241750953,1
"46088","Casas Bajas","casas bajas",171,0,21,59,0,280.952380952381,20.9,0,0,4.58,0,0,1,0,0,61.52,3.3,20574,15.3980752405949,43,0,6.12244897959184,18.3673469387755,75.5102040816327,91.1111111111111,1
