municipio,distancia_centro_educativo,distancia_hospital
Carlet,0,10.72
Carrícola,4.53,11.59
Casas Altas,2.99,63.28
Casas Bajas,4.58,61.52
Casinos,10.49,9.91
Castelló,0,64.77
Castelló de Rugat,13.09,18.4
Castellonet de la Conquesta,8.17,9.9
Castielfabib,7.94,73.92
Catadau,0.78,17.7
Catarroja,0,5.04
Caudete de las Fuentes,6.31,18.19
Cerdà,2.05,5.99
Chella,0,13.47
Chelva,24.63,30.35
Chera,15.46,15.74
Cheste,0,17.33
Chiva,0,20.6
Chulilla,11.41,23.47
Cofrentes,10.05,28.44
Corbera,5.66,6.33
Cortes de Pallás,16.2,29.94
Cotes,1.84,9.01
Cullera,0,12.19
Daimús,1.79,1.96
Domeño,6.94,4.96
Dos Aguas,10.63,33.21
"Eliana, l'",0.82,4.81
Emperador,1.96,7.59
Enguera,0,15.8
"Énova, l'",3.44,5.6
Estivella,0,7.76
Estubeny,1.94,9.91
Faura,1.43,15.29
Favara,0,7.01
Foios,1.61,5.51
"Font de la Figuera, la",19.29,34.45
"Font d'En Carròs, la",4.52,6.26
Fontanars dels Alforins,9.92,16.35
Fortaleny,1.69,10
Fuenterrobles,0,25.97
Gandia,0,0
Gátova,3.49,12.17
Gavarda,3.18,9.74
"Genovés, el",9.25,10.56
Gestalgar,5.29,18.92
Gilet,0,9.12
Godella,0,0
Godelleta,0,20.87
"Granja de la Costera, la",1.94,4.14
Guadasséquies,7.52,9.35
Guadassuar,0,5.15
Guardamar de la Safor,0.9,2.63
Higueruelas,13.76,26.52
Jalance,5.67,32.68
Jarafuel,0,38.36
Llanera de Ranes,2.52,5.56
Llaurí,3.91,6.88
Llíria,0,0
Llocnou de la Corona,0.3,2.63
Llocnou de Sant Jeroni,9.82,11.52
Llocnou d'En Fenollet,5.45,3.84
Llombai,0,18.37
"Llosa de Ranes, la",3.55,2.41
Llutxent,12.07,15.09
Loriguilla,5.85,9.58
Losa del Obispo,12.66,22.42
Macastre,1.87,28.73
Manises,0,0
Manuel,2.37,5.23
Marines,0,6.24
Massalavés,2.77,8.53
Massalfassar,1.84,8.78
Massamagrell,0,9.2
Massanassa,0,4.19
Meliana,0,5.86
Millares,11.94,31.1
Miramar,0,3.84
Mislata,0,0
Mogente/Moixent,0,14.12
Montcada/Moncada,0,3.25
Montaverner,6.42,12.15
Montesa,4.53,13.69
Montitxelvo/Montichelvo,15.19,16.88
Montroi/Montroy,7.43,21.19
Montserrat,8.83,0
Museros,1.27,8.11
Nàquera/Náquera,0,2.95
Navarrés,0,19.23
Novelé/Novetlè,0,4.34
Oliva,0,7.51
"Olleria, l'",6.46,10.91
Olocau,0,8.78
Ontinyent,0,0
Otos,7.21,14.28
Paiporta,0,3.46
Palma de Gandía,0,0
Palmera,1.46,3.93
"Palomar, el",39.16,81.4
Paterna,0,2.22
Pedralba,0,10.01
Petrés,1.56,10.36
Picanya,0,3.91
Picassent,0,11.48
Piles,1.87,5.14
Pinet,7.36,11.8
"Pobla de Farnals, la",0.24,9.82
"Pobla de Vallbona, la",0.58,7.04
"Pobla del Duc, la",13.67,15.66
"Pobla Llarga, la",3.48,9.2
Polinyà de Xúquer,4.74,6.26
Potries,5.14,6.61
Puçol,0,12.97
Puebla de San Miguel,12.11,62.32
"Puig de Santa Maria, el",0.12,12.25
Quart de les Valls,0.77,14.89
Quart de Poblet,0,1.69
Quartell,0,15.48
Quatretonda,11.26,11.6
Quesa,0,23.53
Rafelbunyol,0,9.75
Rafelcofer,2.89,4.52
Rafelguaraf,5.2,6.91
Ráfol de Salem,11.5,18.45
Real,6.58,21.48
"Real de Gandia, el",0,0
Requena,0,0
Riba-roja de Túria,0,7.69
Riola,1.71,8.93
Rocafort,0,1.07
Rotglà i Corberà,3.04,4.74
Ròtova,6.77,8.44
Rugat,14.85,19.1
Sagunto/Sagunt,0,0
Salem,12.55,19.61
San Antonio de Benagéber,0,0
Sant Joanet,2.38,7.52
Sedaví,0,2.2
Segart,4.36,4.85
Sellent,5.17,7.25
Sempere,8.23,10
Senyera,0,6.31
Serra,2.72,0
Siete Aguas,12.35,15.21
Silla,0,9.44
Simat de la Valldigna,0,6.25
Sinarcas,17.88,29.94
Sollana,3.85,13.59
Sot de Chera,11.83,21.71
Sueca,0,11.02
Sumacàrcer,3.74,14.34
Tavernes Blanques,0,3.45
Tavernes de la Valldigna,4.82,7.79
Teresa de Cofrentes,4.21,42.19
Terrateig,13.54,15.24
Titaguas,27.72,42.25
Torrebaja,4.63,69.29
Torrella,2.26,5.67
Torrent,0,5.91
Torres Torres,3.1,9.08
Tous,0,14.12
Tuéjar,25.84,31.41
Turís,4.25,24.2
Utiel,0,13.42
València,0,0
Vallada,0.49,11.25
Vallanca,4.61,67.57
Vallés,0.98,4.62
Venta del Moro,6.23,22.79
Vilallonga/Villalonga,8.57,10.08
Vilamarxant,3.47,8.18
Villar del Arzobispo,12.81,20.56
Villargordo del Cabriel,8.68,30.55
Vinalesa,1.96,4.32
Xàtiva,0,0
Xeraco,7.9,7.54
Xeresa,5.57,5.48
Xirivella,0,2.34
Yátova,0,26.79
"Yesa, La",24.69,40.35
Zarra,5.38,43.73
